School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
CENTER ELEMENTARY SCHOOL,42.1048228,-70.9453218,Public,ABINGTON,Plymouth,98%,99%,100%,99%,99%,98%,0%
ST BRIDGET SCHOOL,42.1168659,-70.937069,Private,ABINGTON,Plymouth, , , , , , , 
C.T. DOUGLAS,42.4816957,-71.4716724,Public,ACTON,Middlesex,97%,98%,97%,97%,97%,97%,3.30%
LUTHER CONANT,42.4751878,-71.4363831,Public,ACTON,Middlesex,100%,100%,100%,100%,100%,100%,0%
MCCARTHY-TOWNE,42.4769577,-71.4539435,Public,ACTON,Middlesex,98%,97%,100%,97%,97%,95%,0%
MERRIAM SCHOOL,42.4778,-71.4556,Public,ACTON,Middlesex,96%,98%,100%,98%,98%,96%,0%
P.P. GATES,42.4792045,-71.4736581,Public,ACTON,Middlesex,98%,100%,98%,100%,98%,97%,3.30%
ACUSHNET ELEMENTARY,41.7254237,-70.9059014,Public,ACUSHNET,Bristol,99%,99%,100%,100%,100%,99%,0%
ST FRANCIS XAVIER SCHOOL,41.6879311,-70.9065177,Private,ACUSHNET,Bristol, , , , , , , 
PLUNKETT ELEMENTARY,42.6189718,-73.1203807,Public,ADAMS,Berkshire,99%,100%,100%,100%,100%,96%,0%
ST STANISLAUS KOSTKA,42.6245272,-73.1128805,Private,ADAMS,Berkshire, , , , , , , 
BENJAMIN PHELPS,42.0703152,-72.6134071,Public,AGAWAM,Hampden,96%,97%,97%,99%,97%,96%,3.90%
JAMES CLARK SCHOOL,42.0455116,-72.631502,Public,AGAWAM,Hampden,96%,98%,98%,98%,98%,94%,6.00%
ROBINSON PARK SCHOOL,42.0898205,-72.6418162,Public,AGAWAM,Hampden,93%,94%,93%,97%,93%,90%,5.70%
GARDNER PILOT ACADEMY,42.3607731,-71.1339972,Public,ALLSTON,Suffolk,90%,92%,94%,94%,94%,94%,0%
GERMAN INTERNATIONAL SCHOOL,42.3604063,-71.13608,Private,ALLSTON,Suffolk, , , , , , , 
HORACE MANN SCHOOL FOR THE DEAF,42.3520643,-71.1377015,Public,ALLSTON,Suffolk, , , , , , , 
JACKSON MANN SCHOOL,42.3517771,-71.137231,Public,ALLSTON,Suffolk,66%,76%,73%,70%,70%,70%,0%
ST HERMAN OF ALASKA,42.3541674,-71.1320059,Private,ALLSTON,Suffolk,*,*,*,*,*,*,*
AMESBURY ELEMENTARY SCHOOL,42.8660036,-70.9318688,Public,AMESBURY,Essex,98%,99%,98%,99%,98%,98%,1.10%
AMESBURY MONTESSORI,42.854706,-70.938637,Private,AMESBURY,Essex, , , , , , , 
CASHMAN ELEMENTARY SCHOOL,42.8567624,-70.9492673,Public,AMESBURY,Essex,94%,96%,95%,98%,95%,94%,1.20%
SPARHAWK SCHOOL,42.8503828,-70.9096347,Private,AMESBURY,Essex, , , , , , , 
AMHERST MONTESSORI SCHOOL,42.3389252,-72.5183217,Private,AMHERST,Hampshire, , , , , , , 
COMMON SCHOOL,42.359575,-72.52309,Private,AMHERST,Hampshire, , , , , , , 
CROCKER FARM ELEMENTARY,42.3472776,-72.5175329,Public,AMHERST,Hampshire,68%,71%,49%,88%,49%,46%,0%
FORT RIVER ELEMENTARY,42.3753662,-72.4987466,Public,AMHERST,Hampshire,85%,95%,98%,98%,98%,80%,2.40%
WILDWOOD ELEMENTARY,42.3872429,-72.5132239,Public,AMHERST,Hampshire,100%,100%,98%,98%,98%,98%,0%
ANDOVER SCHOOL OF MONTESSORI,42.6218817,-71.1245201,Private,ANDOVER,Essex, , , , , , , 
BANCROFT ELEMENTARY,42.6370369,-71.1258895,Public,ANDOVER,Essex,98%,98%,98%,98%,98%,98%,1.50%
HENRY C SANBORN,42.6420646,-71.1786014,Public,ANDOVER,Essex,100%,100%,98%,100%,98%,98%,0%
HIGH PLAIN ELEMENTARY,42.664198,-71.212349,Public,ANDOVER,Essex,98%,98%,98%,96%,96%,95%,3.60%
MELMARK NEW ENGLAND SCHOOL,42.6583356,-71.1367953,Private,ANDOVER,Essex, , , , , , , 
PIKE SCHOOL,42.6320084,-71.1318087,Private,ANDOVER,Essex, , , , , , , 
PROFESSIONAL CTR FOR CHILD DEVELOPMENT,42.6583356,-71.1367953,Private,ANDOVER,Essex, , , , , , , 
SHAWSHEEN SCHOOL,42.6762515,-71.1549495,Public,ANDOVER,Essex,93%,96%,95%,96%,96%,91%,2.70%
SOUTH ELEMENTARY,42.626287,-71.1498038,Public,ANDOVER,Essex,94%,99%,99%,97%,99%,94%,1.40%
ST AUGUSTINE ELEMENTARY,42.6583356,-71.1367953,Private,ANDOVER,Essex,80%,96%,89%,87%,84%,78%,2.20%
WEST ELEMENTARY,42.664198,-71.212349,Public,ANDOVER,Essex,100%,100%,100%,99%,99%,99%,1.40%
ARLINGTON CHILDRENS CENTER,42.4140682,-71.1557103,Private,ARLINGTON,Middlesex, , , , , , , 
BRACKETT ELEMENTARY,42.4124419,-71.1763788,Public,ARLINGTON,Middlesex,93%,91%,96%,95%,95%,91%,7.20%
CYRUS DALLIN ELEMENTARY,42.4176518,-71.1878321,Public,ARLINGTON,Middlesex,99%,99%,99%,99%,97%,97%,1.40%
HARDY ELEMENTARY,42.4044261,-71.1453619,Public,ARLINGTON,Middlesex,96%,96%,98%,98%,99%,96%,0%
INTERNATIONAL SCHOOL OF BOSTON,42.4123876,-71.1587694,Private,ARLINGTON,Middlesex,86%,93%,91%,93%,84%,80%,2.30%
JOHN A BISHOP ELEMENTARY,42.4243203,-71.1546251,Public,ARLINGTON,Middlesex,100%,100%,100%,100%,100%,100%,0%
LESLEY ELLIS SCHOOL,42.4104341,-71.1452688,Private,ARLINGTON,Middlesex, , , , , , , 
M NORCROSS STRATTON SCHOOL,42.4153925,-71.1564729,Public,ARLINGTON,Middlesex,92%,98%,98%,98%,98%,92%,1.50%
NEW COVENANT SCHOOL,42.426377,-71.181886,Private,ARLINGTON,Middlesex, , , , , , , 
PEIRCE SCHOOL,42.4285789,-71.178963,Public,ARLINGTON,Middlesex,96%,98%,98%,98%,98%,96%,2.10%
ST AGNES ELEMENTARY,42.4153925,-71.1564729,Private,ARLINGTON,Middlesex, , , , , , , 
THOMPSON,42.451727,-71.1370672,Public,ARLINGTON,Middlesex,81%,93%,86%,93%,85%,81%,1.20%
BRIGGS ELEMENTARY,42.6149195,-71.9270564,Public,ASHBURNHAM,Worcester,94%,97%,97%,97%,97%,92%,2.80%
ASHBY ELEMENTARY,42.678931,-71.824322,Public,ASHBY,Middlesex,95%,98%,95%,98%,95%,95%,4.70%
SANDERSON ACADEMY,42.508023,-72.81124,Public,ASHFIELD,Franklin, , , , , , , 
HENRY E WARREN ELEMENTARY,42.2421223,-71.4450779,Public,ASHLAND,Middlesex,99%,99%,99%,99%,99%,98%,1.00%
METROWEST CHRISTIAN ACADEMY,42.261484,-71.478921,Private,ASHLAND,Middlesex, , , , , , , 
PINCUSHION HILL MONTESSORI,42.269726,-71.452415,Private,ASHLAND,Middlesex, , , , , , , 
PLEASANT STREET,42.5748332,-72.2188724,Public,ATHOL,Worcester,89%,89%,89%,93%,91%,85%,8.70%
SANDERS STREET SCHOOL,42.586476,-72.2306386,Public,ATHOL,Worcester,91%,96%,96%,96%,96%,91%,2.20%
GRACE BAPTIST CHRISTIAN ACADEMY,41.9127584,-71.2649273,Private,ATTLEBORO,Bristol, , , , , , , 
HYMAN FINE ELEMENTARY,41.9161838,-71.2719878,Public,ATTLEBORO,Bristol,97%,97%,100%,99%,100%,97%,0%
PETER THACHER ELEMENTARY,41.9317562,-71.280343,Public,ATTLEBORO,Bristol,100%,100%,100%,99%,100%,96%,1.30%
ST JOHN THE EVANGELIST,41.9466479,-71.2892702,Private,ATTLEBORO,Bristol,77%,87%,83%,93%,77%,77%,0%
STUDLEY ELEMENTARY,41.9369718,-71.3058721,Public,ATTLEBORO,Bristol,99%,100%,99%,100%,99%,99%,1.10%
THOMAS E WILLETT SCHOOL,41.9462107,-71.2914418,Public,ATTLEBORO,Bristol,96%,96%,99%,100%,99%,98%,0%
BRYN MAWR,42.204816,-71.8453496,Public,AUBURN,Worcester,100%,100%,100%,100%,100%,100%,0%
MARY D STONE,42.1951773,-71.8365643,Public,AUBURN,Worcester,100%,100%,100%,100%,100%,100%,0%
MONTESSORI CHILDRENS HOUSE,42.2044133,-71.8464657,Private,AUBURN,Worcester, , , , , , , 
C C BURR ELEMENTARY,42.3522553,-71.2420665,Public,AUBURNDALE,Middlesex,97%,100%,100%,100%,100%,97%,0%
WILLIAMS,42.3420411,-71.2497782,Public,AUBURNDALE,Middlesex,100%,100%,100%,100%,100%,100%,0%
RALPH BUTLER SCHOOL,42.1306554,-71.0411582,Public,AVON,Norfolk,98%,100%,98%,100%,98%,98%,0%
PAGE HILLTOP ELEMENTARY,42.5611947,-71.5899054,Public,AYER,Middlesex,97%,97%,92%,100%,92%,92%,0%
TRINITY CHRISTIAN ACADEMY,41.684707,-70.281802,Private,BARNSTABLE,Barnstable, , , , , , , 
RUGGLES LANE ELEMENTARY,42.429571,-72.1087019,Public,BARRE,Worcester,88%,87%,83%,96%,87%,83%,2.90%
BECKET WASHINGTON SCHOOL,42.3314762,-73.0828803,Public,BECKET,Berkshire, , , , , , , 
LT ELEAZAR DAVIS SCHOOL,42.4848356,-71.3093214,Public,BEDFORD,Middlesex,98%,100%,100%,99%,100%,97%,0.50%
NASHOBA LEARNING GROUP,42.5152342,-71.2499928,Private,BEDFORD,Middlesex, , , , , , , 
COLD SPRING SCHOOL,42.2744371,-72.3961552,Public,BELCHERTOWN,Hampshire,94%,99%,99%,100%,99%,95%,3.00%
CLARA MACY ELEMENTARY,42.107377,-71.478494,Public,BELLINGHAM,Norfolk,100%,100%,100%,100%,98%,98%,0%
SOUTH ELEMENTARY,42.0344267,-71.4894753,Public,BELLINGHAM,Norfolk,100%,100%,99%,100%,99%,99%,1.20%
STALL BROOK SCHOOL,42.1225,-71.4573,Public,BELLINGHAM,Norfolk,89%,95%,100%,100%,100%,89%,0%
BELMONT DAY,42.3961401,-71.1857066,Private,BELMONT,Middlesex, , , , , , , 
DANIEL BUTLER SCHOOL,42.3859776,-71.1878295,Public,BELMONT,Middlesex,92%,95%,96%,96%,96%,92%,3.90%
MARY LEE BURBANK SCHOOL,42.3884725,-71.1641812,Public,BELMONT,Middlesex,100%,100%,100%,97%,100%,97%,0%
ROGER WELLINGTON,42.3922262,-71.1719884,Public,BELMONT,Middlesex,94%,98%,97%,99%,98%,95%,0.90%
WINN BROOK SCHOOL,42.3956405,-71.1776114,Public,BELMONT,Middlesex,93%,97%,97%,95%,95%,95%,2.10%
BERKLEY COMMUNITY SCHOOL,41.8329083,-71.0885395,Public,BERKLEY,Bristol,96%,98%,99%,100%,99%,91%,1.20%
BERLIN MEMORIAL,42.3780187,-71.6386453,Public,BERLIN,Worcester, , , , , , , 
BERNARDSTON ELEMENTARY,42.6653739,-72.5609892,Public,BERNARDSTON,Franklin, , , , , , , 
FULL CIRCLE SCHOOL,42.6705063,-72.5234031,Private,BERNARDSTON,Franklin, , , , , , , 
AYERS RYAL SIDE SCHOOL,42.5512062,-70.890327,Public,BEVERLY,Essex,96%,99%,98%,98%,98%,96%,2.00%
CENTERVILLE ELEMENTARY,42.5801084,-70.8415917,Public,BEVERLY,Essex,98%,100%,100%,100%,100%,98%,0%
CHILDRENS CTR FOR COMMUNICATION,42.5584283,-70.880049,Private,BEVERLY,Essex, , , , , , , 
COVE ELEMENTARY,42.5560175,-70.8584402,Public,BEVERLY,Essex,96%,98%,98%,98%,98%,95%,1.90%
